FlyBase:FBgn0019631	Drer\shh
ZFIN:ZDB-GENE-030131-1028	sirt2
ZFIN:ZDB-GENE-030131-1033	agrn
ZFIN:ZDB-GENE-030131-1046	apoa2
ZFIN:ZDB-GENE-030131-1074	apoc1
ZFIN:ZDB-GENE-030131-1178	zgc:172246
ZFIN:ZDB-GENE-030131-1188	chs1
ZFIN:ZDB-GENE-030131-1213	slc2a2
ZFIN:ZDB-GENE-030131-1229	acta2
ZFIN:ZDB-GENE-030131-1249	dhrs9
ZFIN:ZDB-GENE-030131-1291	rpl3
ZFIN:ZDB-GENE-030131-1414	sept6
ZFIN:ZDB-GENE-030131-1428	prex1
ZFIN:ZDB-GENE-030131-1452	alox12
ZFIN:ZDB-GENE-030131-1515	csrnp1b
ZFIN:ZDB-GENE-030131-1517	map2k5
ZFIN:ZDB-GENE-030131-1531	atp6v0d1
ZFIN:ZDB-GENE-030131-1571	fmnl3
ZFIN:ZDB-GENE-030131-1598	cd164
ZFIN:ZDB-GENE-030131-1600	ewsr1b
ZFIN:ZDB-GENE-030131-1613	otop1
ZFIN:ZDB-GENE-030131-1629	cald1a
ZFIN:ZDB-GENE-030131-1723	trappc11
ZFIN:ZDB-GENE-030131-1731	lgi1a
ZFIN:ZDB-GENE-030131-1736	exosc8
ZFIN:ZDB-GENE-030131-1747	lin9
ZFIN:ZDB-GENE-030131-1768	alcamb
ZFIN:ZDB-GENE-030131-179	ist1
ZFIN:ZDB-GENE-030131-180	cd63
ZFIN:ZDB-GENE-030131-1835	smarcd1
ZFIN:ZDB-GENE-030131-1869	ahsa1a
ZFIN:ZDB-GENE-030131-1921	marcksb
ZFIN:ZDB-GENE-030131-1949	usp8
ZFIN:ZDB-GENE-030131-1980	gas8
ZFIN:ZDB-GENE-030131-2022	rps28
ZFIN:ZDB-GENE-030131-2046	fam57ba
ZFIN:ZDB-GENE-030131-2049	mat2aa
ZFIN:ZDB-GENE-030131-2052	klhl31
ZFIN:ZDB-GENE-030131-207	ndnf
ZFIN:ZDB-GENE-030131-2085	rpl14
ZFIN:ZDB-GENE-030131-2146	mphosph10
ZFIN:ZDB-GENE-030131-215	cfl1
ZFIN:ZDB-GENE-030131-2152	prickle1b
ZFIN:ZDB-GENE-030131-2165	nfyc
ZFIN:ZDB-GENE-030131-2167	tia1l
