MGI:109382	Ccrn4l
MGI:1924735	Stk31
MGI:88087	asp3
MGI:2181461	Ggn
MGI:97272	Myl2
MGI:2181363	Prokr2
MGI:108554	Dab1
MGI:87881	Acp1
MGI:4843939	Rnl31
MGI:1922072	Tbc1d10c
MGI:107945	Zfp36l2
MGI:1277223	Atxn2
MGI:2448344	Hdlq11
MGI:2667526	jgl
MGI:2444554	Mapkap1
MGI:1095438	Slc2a2
MGI:1914762	Agpat2
MGI:3588345	Cplaq10
MGI:3036267	Lix1l
MGI:2685946	Brsk1
MGI:2179326	Oxr1
MGI:99422	Rapsn
MGI:2153183	Kcnn3
MGI:1332234	Zfp148
MGI:2137316	Chab2
MGI:1933826	Carfhg2
MGI:96701	Krt4
MGI:103582	Ercc5
MGI:96547	Il1rn
MGI:3697202	Vmmt14
MGI:3665184	Chlq16
MGI:1923802	Plekha5
MGI:1338917	S100a1
MGI:3693658	Eac6
MGI:102707	Efna2
MGI:1919224	Prmt3
MGI:106927	Aff3
MGI:3038407	nur47
MGI:2151076	Frp1
MGI:1195458	Abce1
MGI:104994	Rapop3
MGI:2678706	Hlb216
MGI:1354949	Dlc1
MGI:88270	Car3
MGI:2149041	Adip1
MGI:2135956	Prlhr
MGI:2153063	Parvb
MGI:3042608	Lrdg2
MGI:3524757	Arigg2
MGI:1347343	Usp5
MGI:892032	Frzb
MGI:5320613	Shsm
MGI:2387123	Lnpep
MGI:104686	Crkl
MGI:3034012	hem6
MGI:1353425	Opn4
MGI:3042885	Kidq3
MGI:3521871	Lgdr2
MGI:1346022	Mab21l2
MGI:105387	Cdkn2d
MGI:1914981	Fbxo32
MGI:1277947	Fhit
MGI:95489	Fbn1
MGI:98939	vs
MGI:1344694	Chic1
MGI:2672118	Col27a1
MGI:3046730	gro85
MGI:99509	Mop3
MGI:4829495	m6.11.6Djba
MGI:1098234	Adprh
MGI:1926234	Tmem27
MGI:88056	Apod
MGI:1100848	Kpna4
MGI:96687	Krt12
MGI:2443191	Nceh1
MGI:1345649	Szs5
MGI:1891837	Cpb2
MGI:88328	Tnfsf8
MGI:98943	Wap
MGI:3604744	Mfiq1
MGI:1335092	Casp14
MGI:107307	Ing4
MGI:99517	Hspa1b
MGI:3812575	Rgsc852
MGI:3723105	Mtbcq7
MGI:1316670	Afw7
MGI:88431	Cnbp
MGI:1337018	Galr2
MGI:88416	cla
MGI:1098226	Kif14
MGI:104643	Pdcd2
MGI:3798489	Rgsc25
MGI:102778	Six2
MGI:96534	Cd74
MGI:3038267	Cia5c
MGI:98332	sno
MGI:3039562	Taf9b
MGI:3606324	Play22
MGI:1915396	Arl13b
MGI:88059	App
MGI:107546	Art2a-ps
MGI:1918491	Dmrtc2
MGI:894316	Mknk1
MGI:1313258	Slfn2
MGI:1338027	Gdf11
MGI:97628	pma
MGI:2140729	Zfand2a
MGI:1335074	Sluc10
MGI:3808985	Rgsc780
MGI:3522278	powder
MGI:1202715	Tcf21
MGI:2387368	Sluc23
MGI:1343463	Bub3
MGI:4431353	Is(17B1)1Yah
MGI:1914664	Mfn1
MGI:2671341	l11Jus56
MGI:107811	Nptx1
MGI:2680928	Eila2
MGI:1202403	Chrna9
MGI:1914720	Abcg8
MGI:109351	Slc4a2
MGI:1917004	Fbxo7
MGI:96247	Hsp90ab1
MGI:1352758	Ulk2
MGI:1890082	Idd9.1
MGI:3640121	Del(16Cldn5-Hira)5Bld
MGI:98608	Trbv13-2
MGI:108249	El3
MGI:104285	Del(Y<RIII>)2Psb
MGI:97168	Msx1
MGI:1914342	Gatm
MGI:2671300	l11Jus29
MGI:2146149	Egflam
MGI:98212	Rvil1
MGI:5515445	M412b
MGI:96837	Ltf
MGI:3847254	Btnt
MGI:2445003	Arhgap1
MGI:95317	Eln
MGI:2671266	l11Jus3
MGI:99252	Egr4
MGI:3708253	repro57
MGI:96799	Mycl
MGI:1339958	Nfe2l3
MGI:1916120	Ak8
MGI:99829	Runx2
MGI:1355305	Neu3
MGI:5317637	Chy8
MGI:1858415	Ddx20
