FBbt:00000687PHENOTYPE	abdominal 2 dorsal acute muscle 3 phenotype
FBbt:00000689PHENOTYPE	Drosophila abdominal 2 ventral acute muscle 1 phenotype
FBbt:00000690PHENOTYPE	Drosophila abdominal 2 ventral acute muscle 2 phenotype
FBbt:00000691PHENOTYPE	abdominal 2 ventral acute muscle 3 phenotype
FBbt:00000694PHENOTYPE	abdominal 2 dorsal oblique muscle 1 phenotype
FBbt:00000695PHENOTYPE	Drosophila abdominal 2 dorsal oblique muscle 2 phenotype
FBbt:00000696PHENOTYPE	abdominal 2 dorsal oblique muscle 3 phenotype
FBbt:00000697PHENOTYPE	Drosophila abdominal 2 dorsal oblique muscle 4 phenotype
FBbt:00000698PHENOTYPE	Drosophila abdominal 2 dorsal oblique muscle 5 phenotype
FBbt:00000700PHENOTYPE	Drosophila abdominal 2 lateral oblique muscle 1 phenotype
FBbt:00000701PHENOTYPE	Drosophila abdominal 2 ventral oblique muscle phenotype
FBbt:00000702PHENOTYPE	Drosophila abdominal 2 ventral oblique muscle 1 phenotype
FBbt:00000703PHENOTYPE	Drosophila abdominal 2 ventral oblique muscle 2 phenotype
FBbt:00000704PHENOTYPE	abdominal 2 ventral oblique muscle 3 phenotype
FBbt:00000705PHENOTYPE	Drosophila abdominal 2 ventral oblique muscle 4 phenotype
FBbt:00000706PHENOTYPE	Drosophila abdominal 2 ventral oblique muscle 5 phenotype
FBbt:00000707PHENOTYPE	Drosophila abdominal 2 ventral oblique muscle 6 phenotype
FBbt:00000710PHENOTYPE	abdominal 2 lateral longitudinal muscle 1 phenotype
FBbt:00000711PHENOTYPE	abdominal 2 ventral longitudinal muscle phenotype
FBbt:00000712PHENOTYPE	abdominal 2 ventral longitudinal muscle 1 phenotype
FBbt:00000713PHENOTYPE	Drosophila abdominal 2 ventral longitudinal muscle 2 phenotype
FBbt:00000714PHENOTYPE	abdominal 2 ventral longitudinal muscle 3 phenotype
FBbt:00000715PHENOTYPE	abdominal 2 ventral longitudinal muscle 4 phenotype
FBbt:00000716PHENOTYPE	Drosophila abdominal 2 segment border muscle phenotype
FBbt:00000719PHENOTYPE	abdominal 2 dorsal transverse muscle 1 phenotype
FBbt:00000720PHENOTYPE	abdominal 2 lateral transverse muscle phenotype
FBbt:00000721PHENOTYPE	abdominal 2 lateral transverse muscle 1 phenotype
FBbt:00000722PHENOTYPE	abdominal 2 lateral transverse muscle 2 phenotype
FBbt:00000723PHENOTYPE	Drosophila abdominal 2 lateral transverse muscle 3 phenotype
FBbt:00000724PHENOTYPE	Drosophila abdominal 2 lateral transverse muscle 4 phenotype
FBbt:00000726PHENOTYPE	abdominal 2 ventral transverse muscle 1 phenotype
FBbt:00000730PHENOTYPE	abdominal 3 dorsal acute muscle 1 phenotype
FBbt:00000731PHENOTYPE	abdominal 3 dorsal acute muscle 2 phenotype
FBbt:00000732PHENOTYPE	Drosophila abdominal 3 dorsal acute muscle 3 phenotype
FBbt:00000734PHENOTYPE	Drosophila abdominal 3 ventral acute muscle 1 phenotype
FBbt:00000735PHENOTYPE	Drosophila abdominal 3 ventral acute muscle 2 phenotype
FBbt:00000736PHENOTYPE	abdominal 3 ventral acute muscle 3 phenotype
FBbt:00000739PHENOTYPE	Drosophila abdominal 3 dorsal oblique muscle 1 phenotype
FBbt:00000740PHENOTYPE	Drosophila abdominal 3 dorsal oblique muscle 2 phenotype
FBbt:00000741PHENOTYPE	Drosophila abdominal 3 dorsal oblique muscle 3 phenotype
FBbt:00000742PHENOTYPE	abdominal 3 dorsal oblique muscle 4 phenotype
FBbt:00000743PHENOTYPE	abdominal 3 dorsal oblique muscle 5 phenotype
FBbt:00000745PHENOTYPE	Drosophila abdominal 3 lateral oblique muscle 1 phenotype
FBbt:00000746PHENOTYPE	Drosophila abdominal 3 ventral oblique muscle phenotype
FBbt:00000747PHENOTYPE	Drosophila abdominal 3 ventral oblique muscle 1 phenotype
FBbt:00000748PHENOTYPE	Drosophila abdominal 3 ventral oblique muscle 2 phenotype
FBbt:00000749PHENOTYPE	abdominal 3 ventral oblique muscle 3 phenotype
FBbt:00000750PHENOTYPE	Drosophila abdominal 3 ventral oblique muscle 4 phenotype
FBbt:00000751PHENOTYPE	abdominal 3 ventral oblique muscle 5 phenotype
FBbt:00000752PHENOTYPE	Drosophila abdominal 3 ventral oblique muscle 6 phenotype
FBbt:00000755PHENOTYPE	abdominal 3 lateral longitudinal muscle 1 phenotype
