FlyBase:FBal0000893	b[76j3]
FlyBase:FBal0000894	b[76k1]
FlyBase:FBal0000895	b[76k2]
FlyBase:FBal0000896	b[77a1]
FlyBase:FBal0000897	b[77a2]
FlyBase:FBal0000898	b[77a3]
FlyBase:FBal0000899	b[77a4]
FlyBase:FBal0000900	b[77a5]
FlyBase:FBal0000901	b[77j]
FlyBase:FBal0000902	b[77.1X]
FlyBase:FBal0000903	b[77.2X]
FlyBase:FBal0000904	b[77.3e]
FlyBase:FBal0000905	b[77.4e]
FlyBase:FBal0000906	b[77.5X]
FlyBase:FBal0000907	b[78.1]
FlyBase:FBal0000908	b[78a]
FlyBase:FBal0000909	b[78f1]
FlyBase:FBal0000910	b[78f2]
FlyBase:FBal0000911	b[78g]
FlyBase:FBal0000912	b[78k1]
FlyBase:FBal0000913	b[78k2]
